==========
Args:Namespace(arch='resnet50', batch_size=64, clustering='Kmeans', data_dir='/home/ljw/cluster-contrast/data', dataset='veri', dropout=0, epochs=50, eps=0.7, eps_gap=0.02, eval_step=10, features=0, height=224, iters=400, k1=30, k2=6, logs_dir='/home/ljw/cluster-contrast/logs', lr=0.00035, momentum=0.1, nmb_cluster=800, num_instances=16, pooling_type='gem', print_freq=10, seed=1, step_size=20, temp=0.05, use_hard=True, verbose=False, weight_decay=0.0005, width=224, workers=4)
==========
==> Load unlabeled dataset
self.dataset_dir  /home/ljw/datasets/VeRi
=> VeRi loaded
Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
pooling_type: gem
==> Create pseudo labels for unlabeled data
k-means time: 3 s
num_cluster  800
init---
==> Statistics for epoch 0: 800 clusters
Epoch: [1][110/400]	Time 0.319 (0.319)	Data 0.000 (0.003)	Loss 6.213 (5.884)
Epoch: [1][120/400]	Time 0.317 (0.319)	Data 0.000 (0.003)	Loss 5.406 (5.890)
Epoch: [1][130/400]	Time 0.319 (0.319)	Data 0.000 (0.003)	Loss 5.238 (5.881)
Epoch: [1][140/400]	Time 0.318 (0.319)	Data 0.000 (0.003)	Loss 5.762 (5.868)
Epoch: [1][150/400]	Time 0.321 (0.319)	Data 0.000 (0.002)	Loss 5.490 (5.848)
Epoch: [1][160/400]	Time 0.319 (0.319)	Data 0.000 (0.002)	Loss 6.258 (5.836)
Epoch: [1][170/400]	Time 0.317 (0.319)	Data 0.000 (0.002)	Loss 6.004 (5.830)
Epoch: [1][180/400]	Time 0.319 (0.319)	Data 0.000 (0.002)	Loss 5.526 (5.823)
Epoch: [1][190/400]	Time 0.318 (0.319)	Data 0.000 (0.002)	Loss 4.934 (5.817)
Epoch: [1][200/400]	Time 0.317 (0.319)	Data 0.000 (0.002)	Loss 4.680 (5.785)
Epoch: [1][210/400]	Time 0.320 (0.322)	Data 0.000 (0.005)	Loss 6.856 (5.794)
Epoch: [1][220/400]	Time 0.315 (0.322)	Data 0.000 (0.005)	Loss 6.089 (5.806)
Epoch: [1][230/400]	Time 0.316 (0.322)	Data 0.000 (0.005)	Loss 6.280 (5.814)
Epoch: [1][240/400]	Time 0.315 (0.321)	Data 0.000 (0.004)	Loss 6.065 (5.823)
Epoch: [1][250/400]	Time 0.315 (0.321)	Data 0.000 (0.004)	Loss 6.243 (5.829)
Epoch: [1][260/400]	Time 0.315 (0.321)	Data 0.000 (0.004)	Loss 6.119 (5.850)
Epoch: [1][270/400]	Time 0.314 (0.321)	Data 0.000 (0.004)	Loss 6.496 (5.865)
Epoch: [1][280/400]	Time 0.315 (0.321)	Data 0.000 (0.004)	Loss 6.078 (5.877)
Epoch: [1][290/400]	Time 0.317 (0.320)	Data 0.000 (0.004)	Loss 6.280 (5.881)
Epoch: [1][300/400]	Time 0.315 (0.320)	Data 0.000 (0.003)	Loss 6.012 (5.893)
Epoch: [1][310/400]	Time 0.316 (0.320)	Data 0.000 (0.003)	Loss 6.263 (5.902)
Epoch: [1][320/400]	Time 0.316 (0.320)	Data 0.000 (0.003)	Loss 6.534 (5.908)
Epoch: [1][330/400]	Time 0.315 (0.320)	Data 0.000 (0.003)	Loss 6.517 (5.916)
Epoch: [1][340/400]	Time 0.318 (0.320)	Data 0.000 (0.003)	Loss 6.519 (5.923)
Epoch: [1][350/400]	Time 0.316 (0.320)	Data 0.000 (0.003)	Loss 5.842 (5.928)
Epoch: [1][360/400]	Time 0.320 (0.320)	Data 0.000 (0.003)	Loss 5.853 (5.933)
Epoch: [1][370/400]	Time 0.322 (0.320)	Data 0.000 (0.003)	Loss 6.613 (5.942)
Epoch: [1][380/400]	Time 0.318 (0.320)	Data 0.000 (0.003)	Loss 6.423 (5.950)
Epoch: [1][390/400]	Time 0.318 (0.320)	Data 0.000 (0.003)	Loss 5.838 (5.954)
Epoch: [1][400/400]	Time 0.319 (0.320)	Data 0.000 (0.003)	Loss 6.448 (5.962)
==> Create pseudo labels for unlabeled data
k-means time: 2 s
num_cluster  800
init---
==> Statistics for epoch 2: 800 clusters
Epoch: [2][10/400]	Time 0.318 (0.358)	Data 0.000 (0.036)	Loss 3.937 (4.007)
Epoch: [2][20/400]	Time 0.322 (0.339)	Data 0.000 (0.018)	Loss 4.639 (4.179)
Epoch: [2][30/400]	Time 0.319 (0.333)	Data 0.000 (0.012)	Loss 4.394 (4.330)
Epoch: [2][40/400]	Time 0.315 (0.330)	Data 0.000 (0.009)	Loss 4.635 (4.339)
Epoch: [2][50/400]	Time 0.320 (0.329)	Data 0.000 (0.007)	Loss 4.538 (4.334)
Epoch: [2][60/400]	Time 0.323 (0.327)	Data 0.000 (0.006)	Loss 4.554 (4.314)
Epoch: [2][70/400]	Time 0.321 (0.327)	Data 0.000 (0.005)	Loss 4.037 (4.307)
Epoch: [2][80/400]	Time 0.322 (0.326)	Data 0.000 (0.005)	Loss 4.375 (4.300)
Epoch: [2][90/400]	Time 0.322 (0.326)	Data 0.000 (0.004)	Loss 3.969 (4.305)
Epoch: [2][100/400]	Time 0.324 (0.325)	Data 0.000 (0.004)	Loss 4.238 (4.294)
Epoch: [2][110/400]	Time 0.320 (0.325)	Data 0.000 (0.003)	Loss 3.436 (4.264)
Epoch: [2][120/400]	Time 0.322 (0.325)	Data 0.000 (0.003)	Loss 3.912 (4.255)
Epoch: [2][130/400]	Time 0.324 (0.324)	Data 0.000 (0.003)	Loss 4.465 (4.263)
Epoch: [2][140/400]	Time 0.322 (0.324)	Data 0.000 (0.003)	Loss 3.897 (4.265)
Epoch: [2][150/400]	Time 0.321 (0.324)	Data 0.000 (0.002)	Loss 4.866 (4.268)
Epoch: [2][160/400]	Time 0.323 (0.324)	Data 0.000 (0.002)	Loss 4.936 (4.297)
Epoch: [2][170/400]	Time 0.321 (0.324)	Data 0.000 (0.002)	Loss 5.199 (4.298)
Epoch: [2][180/400]	Time 0.322 (0.324)	Data 0.000 (0.002)	Loss 2.946 (4.280)
Epoch: [2][190/400]	Time 0.322 (0.323)	Data 0.000 (0.002)	Loss 3.570 (4.269)
Epoch: [2][200/400]	Time 0.317 (0.323)	Data 0.000 (0.002)	Loss 5.056 (4.271)
Epoch: [2][210/400]	Time 0.314 (0.326)	Data 0.000 (0.005)	Loss 5.490 (4.319)
Epoch: [2][220/400]	Time 0.316 (0.326)	Data 0.000 (0.005)	Loss 5.159 (4.372)
Epoch: [2][230/400]	Time 0.321 (0.326)	Data 0.000 (0.005)	Loss 5.408 (4.400)
Epoch: [2][240/400]	Time 0.319 (0.325)	Data 0.000 (0.005)	Loss 5.596 (4.448)
Epoch: [2][250/400]	Time 0.323 (0.325)	Data 0.000 (0.004)	Loss 4.633 (4.485)
Epoch: [2][260/400]	Time 0.320 (0.325)	Data 0.000 (0.004)	Loss 4.608 (4.529)
Epoch: [2][270/400]	Time 0.323 (0.325)	Data 0.000 (0.004)	Loss 5.207 (4.562)
Epoch: [2][280/400]	Time 0.316 (0.325)	Data 0.000 (0.004)	Loss 4.629 (4.593)
Epoch: [2][290/400]	Time 0.317 (0.324)	Data 0.000 (0.004)	Loss 4.958 (4.619)
Epoch: [2][300/400]	Time 0.318 (0.324)	Data 0.000 (0.004)	Loss 5.396 (4.638)
